30	นราธิวาส	789,681	783,082	774,799	766,145	757,397	747,372	737,162	728,071	719,930	711,517	706,620	700,525	693,775	708,241	699,951
31	ลพบุรี	757,321	758,655	758,406	757,970	758,059	756,127	755,854	754,452	753,801	749,821	751,431	751,951	749,484	768,516	767,985
32	ลำปาง	748,850	752,356	753,013	754,862	756,811	757,534	761,949	764,498	767,615	770,613	794,266	776,726	778,926	797,216	800,775
33	กำแพงเพชร	729,542	730,158	729,522	728,631	727,555	726,009	727,093	726,846	726,213	725,994	728,313	728,265	726,436	774,225	768,130
34	นครพนม	716,873	715,399	713,341	710,860	708,350	704,768	703,392	700,690	699,364	697,105	695,269	693,594	691,160	710,440	721,540
35	ฉะเชิงเทรา	704,399	700,902	695,478	690,226	685,721	679,370	673,933	668,983	664,830	658,966	653,731	647,610	643,432	652,501	649,758
36	ปัตตานี	700,961	694,023	686,186	678,838	671,615	663,485	655,259	647,624	642,169	637,806	636,164	634,376	629,861	634,619	627,955
37	ระยอง	700,223	688,999	674,393	661,220	649,275	637,736	626,402	612,095	598,664	583,470	572,254	559,135	543,887	556,733	546,570
38	ตรัง	641,684	640,793	638,746	636,043	631,920	626,708	622,659	618,675	614,869	610,332	607,078	602,045	596,087	608,044	603,072
39	สระบุรี	640,065	637,673	633,460	629,261	625,689	620,454	617,384	612,707	621,640	615,756	608,612	601,938	595,870	625,574	621,994
40	เลย	639,801	638,819	634,513	632,205	629,787	624,920	624,066	620,780	618,423	615,538	613,070	612,422	610,472	624,087	635,587
41	ตาก	631,965	618,382	539,553	532,353	526,045	531,018	525,684	519,662	538,330	530,928	531,712	522,197	515,877	498,714	507,371
42	สุโขทัย	600,231	601,712	602,460	602,713	602,601	601,504	601,778	602,813	603,817	605,301	608,965	610,361	611,379	621,693	625,099
43	สระแก้ว	559,017	556,922	552,187	550,937	548,342	545,596	544,100	542,451	541,425	539,137	538,492	536,977	536,204	541,441	539,107
44	สมุทรสาคร	556,719	545,454	531,887	519,457	508,812	499,098	491,887	484,606	478,146	469,934	461,792	452,017	442,687	448,199	442,914
45	พิจิตร	543,482	545,957	547,543	548,855	549,395	549,688	552,690	553,193	554,112	554,740	558,012	558,794	560,427	597,882	591,953
46	ยโสธร	539,815	540,182	540,211	540,383	540,267	538,853	539,257	539,134	539,284	539,542	540,832	541,264	541,320	552,948	553,864
47	ประจวบคีรีขันธ์	539,534	534,719	525,107	520,271	517,050	512,568	509,134	504,063	500,378	494,588	493,946	486,797	479,688	492,480	488,477
48	จันทบุรี	532,466	531,037	527,350	524,260	521,812	516,855	514,616	511,246	508,020	504,003	502,392	498,159	494,001	511,587	506,011
49	พัทลุง	523,723	522,723	520,419	518,021	514,492	511,063	509,534	507,777	505,129	502,563	502,940	500,501	498,297	504,597	504,454
50	ยะลา	522,279	518,139	511,911	506,138	500,814	493,767	487,380	480,334	475,527	470,691	461,792	464,121	459,868	465,446	459,659
51	หนองคาย	520,363	519,580	517,260	514,943	512,439	509,870	509,395 [33]	907,250	906,877	902,618	899,033	896,099	895,722	913,275	909,543
52	หนองบัวลำภู	510,734	510,074	508,864	507,137	505,071	502,551	502,868	500,913	499,520	497,603	496,676	496,657	494,594	500,002	498,513
53	ชุมพร	507,604	505,830	500,575	498,294	495,310	492,182	489,964	487,744	484,722	481,298	478,956	475,763	472,068	477,116	473,818
54	ปราจีนบุรี	484,829	482,195	479,314	476,167	473,770	469,652	466,572	461,854	459,379	454,988	453,263	449,621	445,944	453,935	452,822
55	เพชรบุรี	480,652	478,589	474,192	471,087	468,874	466,079	464,033	461,239	458,975	456,061	456,175	453,982	451,029	461,738	461,339
56	น่าน	479,916	479,518	478,264	477,912	477,673	476,612	476,363	475,614	475,984	477,381	477,721	478,080	477,754	482,181	487,742
57	พะเยา	479,188	482,645	484,454	486,744	488,120	486,472	486,304	487,120	487,386	486,579	486,476	486,889	488,343	501,509	508,554
58	กระบี่	465,931	462,101	456,811	450,890	444,967	438,039	432,704	426,556	418,705	410,634	402,559	395,665	387,752	384,416	377,954
59	อุตรดิตถ์	458,197	459,768	460,400	460,995	461,294	461,040	462,618	462,951	464,205	465,277	467,446	469,387	469,944	481,640	484,984
60	แพร่	449,810	452,346	454,083	456,074	457,607	458,750	460,756	462,090	464,205	465,876	468,767	471,447	473,361	482,232	485,121
61	บึงกาฬ	421,625	420,647	418,566	416,236	412,613	407,634	403,542	—	—	—	—	—	—	—	—
62	ลำพูน	405,999	406,385	405,468	405,268	404,673	403,952	404,560	404,693	405,125	405,157	405,876	404,727	404,780	409,041	407,202
63	ภูเก็ต	394,169	386,605	378,364	369,522	360,905	353,847	345,067	335,913	327,006	315,498	299,768	292,245	285,901	278,480	270,438
64	อำนาจเจริญ	377,120	376,382	375,380	374,698	373,494	372,241	372,137	370,804	369,476	368,915	368,894	368,791	367,514	370,627	370,360
65	มุกดาหาร	349,474	348,101	346,016	344,302	342,868	340,581	339,575	338,048	337,497	336,107	338,770	334,113	332,563	339,074	338,276
66	ชัยนาท	330,431	331,655	332,283	332,769	333,172	333,256	334,934	335,420	335,952	337,147	339,139	340,129	341,493	349,216	350,547
67	อุทัยธานี	330,299	330,906	330,179	329,536	328,950	328,034	327,959	327,871	327,586	326,975	335,359	326,731	326,001	339,483	336,176
68	สตูล	317,612	315,923	312,673	309,793	305,879	301,467	297,163	293,101	288,409	284,482	281,126	277,865	273,546	273,702	270,802
69	อ่างทอง	282,404	283,173	283,568	283,732	283,882	284,061	284,970	284,807	284,831	284,406	284,105	283,778	282,967	290,825	290,423
70	แม่ฮ่องสอน	275,884	273,764	248,178	246,549	244,356	244,048	242,742	241,847	252,692	254,804	256,338	253,609	243,735	238,241	240,014
71	พังงา	265,579	264,074	261,370	259,420	257,493	254,931	253,112	251,657	249,933	246,887	245,295	241,442	239,064	240,725	239,401
72	นครนายก	258,358	258,577	257,300	256,085	255,174	253,831	252,734	251,683	250,753	248,496	250,140	250,779	248,592	251,877	251,064
73	ตราด	229,437	229,435	224,730	224,010	222,855	222,013	220,921	220,008	221,827	220,543	220,472	219,135	217,950	225,021	225,295
74	สิงห์บุรี	210,588	211,426	212,158	212,690	213,216	213,587	214,661	215,299	215,551	215,653	217,055	217,744	220,121	222,728	223,352
75	สมุทรสงคราม	194,069	194,376	194,189	194,116	194,042	194,086	194,057	193,647	194,054	194,212	195,143	195,068	195,218	203,998	205,135
76	ระนอง	189,154	187,536	177,089	174,776	182,648	183,849	183,079	181,754	182,729	180,787	181,588	178,122	176,372	163,436	163,160
